Año;Nombre;Direccion;Barrio;Comuna;Clasificación;Declaratoria plan de ordenamiento territorial;Fecha creación;Técnica y material;Estado integridad;Estado conservación;Tipología;Elementos;Ficha de inventario;Observaciones
2021;Homenaje al Policía;Avenida Américas Calle 18N;Versalles;2;Monumento;Si;1/01/1992;Concreto Armado;Fragmentado;Regular;Grupo Escultórico;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-6.pdf;Sin observación
2021;Benjamín Herrera;Avenida Colombia entre Calles 12 y 13 al Margen Derecho del Rio Cali;San Pedro;3;Estatua;Si;29/02/1952;Bronce Fundido;Completo;Bueno;Escultura Pedreste en Bulto Redondo;Pedestal Cemento y Piedra. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-7.pdf;Sin observación
2021;El Gato del Rio;Avenida 4 Oeste Calle 3 Oeste sobre El Margen Izquierda del Rio Cali;Normandía;2;Monumento;Si;3/07/1996;Bronce Fundido;Completo;Bueno;Escultura en Bulto Redondo;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-8.pdf;Sin observación
2021;Francisco de Paula Santander;Avenida Colombia Calle 2 Oeste frente al Hotel Intercontinental;El Peñón;3;Estatua;Si;1/01/1942;Bronce Fundido a la Cera Perdida;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal en Piedra y Granito;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-9.pdf;Sin observación
2021;Cuadriga Romana;Avenida Colombia Calle 5 Oeste (Obelisco);El Peñón;3;Monumento;Si;1/01/1926;Modelado de Estructura Metálica y Recubrimiento en Concreto y Yeso;Completo;Bueno;Grupo Escultórico;Pedestal en Cemento. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-10.pdf;Sin observación
2021;Libardo Lozano Guerrero;Calle 13 Carrera 100;Ciudad Universitaria;17;Estatua;Si;1/01/1986;Bronce Fundido;Completo;Bueno;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-11.pdf;Sin observación
2021;Los Muertos del 7 de Agosto;Calle 25 Carreras 1A y 3A;San Nicolás;3;Monumento;Si;1/01/1950;Concreto Armado Repello y Estuco;Completo;Bueno;Estructura en Forma de Cruz;Base;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-12.pdf;Sin observación
2021;El Búho;Calle 3 Carreras 36 Y 36B;San Fernando Viejo;19;Monumento;Si;1/01/1970;Piedra hecha en Resina y Fibra de Vidrio;Completo;Bueno;Escultura de Bulto Redondo;Pedestal en Ladrillo y Cemento;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-13.pdf;Sin observación
2021;La Medicina;Calle 3B Carreras 36 y 36B;San Fernando Viejo;19;Monumento;Si;1/01/1975;Modelado en Ferro Concreto;Completo;Bueno;Grupo Escultórico en Bulto Redondo;Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-14.pdf;Sin observación
2021;Pablo Emilio Manrique;Calle 5 Carrera 15;San Juan Bosco;3;Estatua;Si;3/07/1996;Resina y Fibra De Vidrio;Fragmentado;Regular;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-15.pdf;Sin observación
2021;José de San Martín;Calle 5 Carrera 24;Miraflores;19;Estatua;Si;1/01/1938;Bronce Fundido;Completo;Bueno;Busto;Pedestal en Cemento y Ladrillo;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-16.pdf;Sin observación
